timestamp_ms,temperature_celsius
0,20.02
1207,19.55
2413,19.55
3659,19.55
4864,19.09
6068,19.09
7273,19.55
8479,19.55
9685,19.55
10891,19.55
12097,19.55
13303,19.55
14509,19.55
15715,19.55
16922,19.55
18129,19.55
19336,20.02
20543,19.09
21789,19.55
22995,19.55
24201,19.55
25407,19.55
26613,19.55
27820,19.55
29027,19.55
30233,19.55
31476,19.55
32681,19.55
33887,19.55
35093,19.55
36300,19.55
37507,19.55
38714,19.55
39921,19.55
41162,20.02
42368,19.55
43574,20.02
44780,19.55
45987,20.02
47194,19.55
48435,19.55
49673,19.55
50910,19.55
52145,19.55
53383,20.02
54621,19.55
55862,20.02
57100,19.55
58340,20.02
59577,20.02
60814,20.02
62051,19.55
63290,20.02
64527,20.02
65803,20.02
67041,20.02
68276,20.02
69511,20.02
70748,20.02
71983,20.02
73222,20.02
74462,20.02
75703,20.02
76941,20.02
78181,20.49
79418,20.49
80657,20.49
81896,20.49
83135,20.49
84375,20.02
85652,20.49
86891,20.49
88127,20.49
89364,20.49
90602,20.02
91840,20.49
93080,20.49
94319,20.49
95561,20.49
96802,20.49
98040,20.49
99278,20.49
100516,20.49
101751,20.49
102989,20.49
104226,20.02
105509,20.49
106748,20.49
107985,20.49
109223,20.49
110461,20.02
111701,20.49
112941,20.49
114182,20.02
115422,20.49
116664,20.49
117903,20.49
119143,20.02
120381,20.49
121622,20.02
122864,20.49
124106,20.49
125389,20.49
126629,20.49
127868,20.49
129107,20.49
130345,20.49
131587,20.49
132826,20.02
134068,20.49
135312,20.49
136549,20.02
137788,20.02
139030,20.02
140273,20.02
141516,20.49
142759,20.02
144003,20.49
145289,20.49
146529,20.49
147770,20.02
149009,20.49
150250,20.49
151493,20.02
152736,20.02
153981,20.49
155229,20.49
156469,20.02
157710,20.49
158955,20.02
160201,20.49
161450,20.49
162695,20.49
163938,20.49
165225,20.49
166464,20.02
167706,20.02
168946,20.02
170187,20.02
171427,20.02
172671,20.49
173913,20.49
175157,20.02
176399,20.02
177644,20.49
178888,20.49
180131,20.49
181374,20.02
182618,20.02
183864,20.49
185144,20.49
186384,20.02
187625,20.02
188866,20.49
190109,20.02
191354,20.49
192597,20.02
193840,20.49
195085,20.49
196334,20.49
197578,20.49
198821,20.49
200064,20.02
201308,20.49
202554,20.49
203801,20.49
205085,20.49
206327,20.49
207570,20.49
208813,20.49
210058,20.02
211302,20.49
212548,20.49
213794,20.49
215040,20.49
216285,20.49
217529,20.49
218774,20.02
220019,20.02
221266,20.49
222511,20.49
223756,20.49
225043,20.49
226287,20.02
227531,20.49
228773,20.02
230018,20.49
231264,20.49
232509,20.02
233757,20.02
235005,20.49
236251,20.49
237495,20.02
238741,20.02
239986,20.02
241231,20.49
242480,20.49
243727,20.49
245014,20.02
246258,20.49
247503,20.49
248747,20.49
249994,20.02
251242,20.49
252490,20.49
253739,20.02
254985,20.49
256231,20.49
257478,20.49
258723,20.49
259967,20.02
261215,20.49
262463,20.02
263712,20.49
264999,20.49
266246,20.49
267491,20.49
268736,20.02
269983,20.49
271233,20.02
272480,20.49
273729,20.49
274980,20.49
276227,20.02
277472,20.49
278720,20.49
279970,20.49
281221,20.49
282470,20.02
283720,20.49
285003,20.49
286249,20.49
287496,20.02
288743,20.49
289991,20.02
291243,20.02
292490,20.49
293738,20.02
294985,20.02
296234,20.49
297480,20.49
298727,20.49
299977,20.49
301228,20.49
302480,20.02
303731,20.49
305020,20.49
306270,20.49
307521,20.49
308771,20.49
310024,20.49
311274,20.49
312524,20.49
313772,20.49
315022,20.49
316274,20.02
317526,20.49
318776,20.49
320028,20.02
321281,20.02
322532,20.49
323783,20.49
325074,20.49
326328,20.49
327580,20.49
328834,20.49
330086,20.49
331337,20.49
332588,20.49
333838,20.49
335088,20.49
336341,20.49
337594,20.49
338844,20.49
340097,20.49
341348,20.02
342603,20.49
343853,20.49
345146,20.49
346397,20.49
347650,20.02
348905,20.49
350159,20.49
351413,20.49
352664,20.49
353915,20.02
355164,20.49
356417,20.49
357669,20.49
358920,20.49
360176,20.49
361429,20.02
362684,20.49
363935,20.49
365225,20.49
366477,20.49
367731,20.49
368985,20.49
370236,20.49
371487,20.49
372738,20.49
373991,20.49
375246,20.02
376499,20.49
377757,20.49
379013,20.49
380266,20.49
381519,20.49
382772,20.49
384025,20.49
385318,20.49
386574,20.49
387831,20.02
389087,20.49
390344,20.49
391600,20.49
392857,20.49
394111,20.02
395372,20.49
396628,20.49
397913,20.49
399149,20.49
400384,20.49
401616,20.49
402850,20.49
404083,20.49
405357,20.49
406590,20.49
407825,20.49
409060,20.49
410295,20.49
411528,20.49
412760,20.49
413993,20.49
415230,20.49
416465,20.96
417699,20.49
418936,20.49
420170,20.49
421402,20.49
422638,20.49
423876,20.49
425155,20.49
426393,20.49
427633,20.49
428872,20.49
430111,20.49
431349,20.02
432585,20.49
433822,20.49
435060,20.49
436298,20.49
437535,20.49
438772,20.02
440008,20.49
441243,20.49
442477,20.49
443711,20.49
444983,20.49
446220,20.02
447456,20.49
448695,20.02
449931,20.49
451163,20.49
452398,20.49
453634,20.02
454873,20.49
456111,20.49
457350,20.49
458589,20.49
459828,20.49
461064,20.49
462302,20.49
463537,20.49
464815,20.02
466053,20.49
467291,20.49
468529,20.49
469767,20.49
471001,20.49
472235,20.49
473472,20.96
474712,20.49
475949,20.02
477189,20.49
478427,20.49
479666,20.49
480905,20.49
482145,20.49
483382,20.49
484659,20.49
485899,20.49
487140,20.49
488378,20.49
489619,20.49
490857,20.49
492095,20.49
493335,20.02
494575,20.49
495816,20.49
497058,20.49
498299,20.49
499537,20.49
500775,20.49
502013,20.49
503251,20.49
504532,20.49
505774,20.49
507016,20.49
508255,20.49
509496,20.49
510734,20.49
511974,20.02
513212,20.49
514453,20.49
515694,20.49
516934,20.49
518177,20.49
519416,20.49
520658,20.49
521899,20.49
523140,20.49
524422,20.96
525663,20.49
526906,20.02
528149,20.49
529389,20.49
530628,20.49
531867,20.49
533107,20.49
534349,20.02
535590,20.02
536835,20.02
538077,20.49
539317,20.49
540559,20.49
541799,20.49
543043,20.49
544325,20.49
545568,20.02
546810,20.49
548052,20.49
549294,20.02
550535,20.49
551773,20.96
553014,20.49
554259,20.02
555503,20.49
556748,20.49
557991,20.49
559232,20.49
560474,20.96
561714,20.49
562959,20.49
564242,20.49
565486,20.49
566732,20.02
567972,20.49
569213,20.49
570457,20.49
571701,20.49
572945,20.49
574189,20.49
575437,20.49
576683,20.49
577926,20.49
579170,20.02
580412,20.49
581654,20.49
582897,20.49
584179,20.49
585424,20.02
586670,20.49
587911,20.49
589154,20.49
590403,20.49
591650,20.49
592906,20.49
594153,20.49
595397,20.49
596647,20.49
597890,20.96
599135,20.49
600380,20.49
601623,20.49
602867,20.49
604152,20.49
605398,20.49
606644,20.49
607889,20.49
609137,20.49
610383,20.49
611627,20.49
612874,20.49
614121,20.49
615367,20.49
616613,20.49
617856,20.02
619101,20.49
620346,20.49
621594,20.02
622842,20.49
624128,20.49
625374,20.49
626619,20.49
627863,20.49
629109,20.49
630354,20.49
631598,20.49
632844,20.49
634091,20.49
635340,20.49
636587,20.96
637833,20.49
639078,20.49
640321,20.49
641570,20.49
642817,20.02
644105,20.49
645353,20.49
646601,20.49
647847,20.49
649093,20.49
650338,20.49
651585,20.96
652833,20.02
654081,20.49
655328,20.96
656576,20.49
657821,20.49
659067,20.49
660312,20.49
661559,20.49
662806,20.49
664092,20.49
665342,20.49
666591,20.49
667839,20.49
669087,20.49
670335,20.49
671581,20.49
672829,20.49
674079,20.49
675329,20.96
676579,20.49
677826,20.49
679075,20.49
680325,20.49
681576,20.49
682827,20.96
684115,20.49
685367,20.49
686618,20.02
687865,20.96
689114,20.49
690361,20.49
691609,20.49
692859,20.49
694111,20.49
695363,20.49
696615,20.49
697865,20.02
699114,20.49
700363,20.49
701612,20.49
702865,20.49
704155,20.49
705407,20.49
706660,20.49
707909,20.49
709156,20.49
710406,20.49
711658,20.49
712911,20.49
714161,20.49
715413,20.02
716663,20.49
717913,20.49
719163,20.49
720415,20.96
721668,20.49
722923,20.49
724213,20.49
725463,20.49
726714,20.49
727965,20.02
729213,20.49
730464,20.49
731715,20.49
732968,20.49
734219,20.96
735471,20.49
736720,20.49
737972,20.49
739223,20.02
740476,20.49
741730,20.96
742983,20.49
744274,20.02
745523,20.49
746774,20.49
748028,20.49
749281,20.49
750534,20.02
751787,20.49
753039,20.49
754291,20.49
755544,20.49
756801,20.49
758057,20.49
759312,20.49
760568,20.02
761823,20.49
763076,20.49
764368,20.96
765620,20.49
766872,20.49
768127,20.49
769383,20.49
770637,20.49
771893,20.49
773146,20.49
774405,20.49
775658,20.49
776912,20.49
778166,20.49
779421,20.49
780678,20.49
781934,20.49
783190,20.49
784484,20.49
785737,20.49
786988,20.49
788244,20.49
